subject_id,domain,word,language,semantic,semantic.1,latency_ms,x_norm,y_norm,x_viz,y_viz,canvas_width,canvas_height,session_id,Hi_Read,Hi_Write,En_Read,En_Write,first_language,language_count,state_ut,age,gender,education,dominant_hand
10255,furniture-practice,dinig table,hinglish,डाइनिंग टेबल,डाइनिंग टेबल,2808.5,0.6745911626655738,1.0038699504925308,0.3491823253311477,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,furniture-practice,wadrobe,english,अलमारी,अलमारी,8129.8,0.2032382781386288,0.8498452336833258,-0.5935234437227423,0.6996904673666515,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,furniture-practice,mirror,english,आईना,आईना,3742.8,0.2063824340486769,0.7956656684395942,-0.5872351319026461,0.5913313368791884,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,furniture-practice,bed,english,बिस्तर,बिस्तर,5691.1,0.2075809378987732,1.0038699504925308,-0.5848381242024536,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,furniture-practice,tv stand,english,टीवी स्टैंड,टीवी स्टैंड,11889.2,0.5003908286684069,0.8904799076161245,0.0007816573368137,0.780959815232249,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,red,english,लाल,लाल,2558.3,0.076445530190819,1.0038699504925308,-0.847108939618362,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,blue,english,नीला,नीला,1464.6,0.080923444712743,0.5402476589538197,-0.8381531105745139,0.0804953179076393,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,green,english,हरा,हरा,1505.6,0.0749530039925228,0.0971120332382064,-0.8500939920149543,-0.8057759335235872,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,indigo,english,जामुनी (इंडिगो),जामुनी (इंडिगो),1894.6,0.1253551907627162,0.5344427055348484,-0.7492896184745674,0.0688854110696968,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,orange,english,संतरा,संतरा,1583.3,0.1193288823623124,1.0038699504925308,-0.7613422352753751,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,purple,english,बैंगनी,बैंगनी,2164.2,0.097559972826525,0.9195046747109806,-0.80488005434695,0.8390093494219613,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,white,english,सफेद,सफेद,8238.4,1.0016617751963677,0.0030959574414727,1.0033235503927354,-0.9938080851170544,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,black,english,काला,काला,1646.3,1.000942273514247,1.0038699504925308,1.001884547028494,1.0077399009850616,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,pink,english,गुलाबी,गुलाबी,3509.2,0.1771109429183239,0.934984550494904,-0.6457781141633521,0.8699691009898081,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,saffron,english,केसरिया,केसरिया,2492.4,0.0191983338614523,0.9272446126029424,-0.9616033322770954,0.8544892252058847,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,violet,english,बैंगनी,बैंगनी,3133.6,0.1904742411300788,0.5286377521158772,-0.6190515177398423,0.0572755042317543,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
10255,colours,silver,english,चांदी जैसा (सिल्वर),चांदी जैसा (सिल्वर),4323.4,0.9320738260753992,0.0293875766835419,0.8641476521507985,-0.9412248466329162,1272.0,543.2000122070312,1qmxoH7jT7VECeLUVEKU,4,4,5,5,Telugu,3,Andhra Pradesh,27,Male,20,Right
